Label,Num_Samples,MMD_Score
benign,1,1.0649730342042825
benign,2,1.1534950850594972
benign,3,0.5124996025571975
benign,4,0.5396862209932469
benign,5,0.21353540822623263
benign,6,0.14794722079807587
benign,7,0.10808997175630952
benign,8,0.17313869432086793
benign,9,0.14047910684213383
benign,10,0.05936682370275803
benign,11,0.07893916809235813
benign,12,0.034553654813375134
benign,13,0.03993264975354682
benign,14,0.03448876773239107
benign,15,0.02283046239300912
benign,16,0.0205037637575316
benign,17,0.019344089349692117
benign,18,0.01727460130689873
benign,19,0.01700044036507875
benign,20,0.028029898011841636
benign,21,0.04160047146908541
benign,22,0.025525962918423684
benign,23,0.03468893631146863
benign,24,0.04692369359750348
benign,25,0.06037356281091211
benign,26,0.05538466687961985
benign,27,0.036532845575653505
benign,28,0.033511421205795866
benign,29,0.02256856101383531
benign,30,0.014487616233555878
benign,31,0.009770956810265297
benign,32,0.00740400964340715
benign,33,0.0049542931043717875
benign,34,0.004716853174707714
benign,35,0.004090446632471378
benign,36,0.003959112513238328
benign,37,0.00665901718449291
benign,38,0.00952126453002844
benign,39,0.005692797103264535
benign,40,0.006423813068333617
benign,41,0.0060624185401616515
benign,42,0.005777718454108793
benign,43,0.005452432231961568
benign,44,0.00636771595908292
benign,45,0.005129704313185712
benign,46,0.006106188886486397
benign,47,0.0038267923980395135
benign,48,0.003912231140901001
benign,49,0.003874135727595318
benign,50,0.003718868360242933
gandcrab,1,5.020873561356609e-08
gandcrab,2,4.094541012911179e-07
gandcrab,3,3.1199671639559057e-06
gandcrab,4,1.0589953696182874e-06
gandcrab,5,6.267864594011741e-07
gandcrab,6,8.093399639363952e-08
gandcrab,7,7.081331945268943e-07
gandcrab,8,3.618415647110851e-07
gandcrab,9,8.312262789189617e-08
gandcrab,10,2.3074684385449018e-08
gandcrab,11,1.683653172435129e-08
gandcrab,12,1.412681038814867e-08
gandcrab,13,7.182754391266144e-09
gandcrab,14,4.6539061493433564e-09
gandcrab,15,2.7699762483734958e-09
gandcrab,16,4.081763858021503e-07
gandcrab,17,3.619827635414907e-07
gandcrab,18,1.7796448714690882e-07
gandcrab,19,1.3108913399229039e-07
gandcrab,20,6.651914468136511e-07
gandcrab,21,5.893189993777526e-07
gandcrab,22,5.790601658173244e-07
gandcrab,23,4.823894661498684e-07
gandcrab,24,4.554288710600929e-07
gandcrab,25,4.173950898245238e-07
gandcrab,26,3.8193902929251067e-07
gandcrab,27,3.4271776550021116e-07
gandcrab,28,3.1161863653927924e-06
gandcrab,29,2.90327252305822e-06
gandcrab,30,3.015858618171663e-06
gandcrab,31,2.737598931323859e-06
gandcrab,32,2.4800316460460436e-06
gandcrab,33,3.0158025496884733e-06
gandcrab,34,2.9286889662305526e-06
gandcrab,35,2.764619720263539e-06
gandcrab,36,2.32580217063294e-06
gandcrab,37,2.1405259762463658e-06
gandcrab,38,2.2310049843099478e-06
gandcrab,39,2.1039035880132673e-06
gandcrab,40,2.0003351690611737e-06
gandcrab,41,2.121018080725179e-06
gandcrab,42,1.951908212172171e-06
gandcrab,43,1.8617081463112584e-06
gandcrab,44,1.7761899644419543e-06
gandcrab,45,1.6423252304775815e-06
gandcrab,46,1.5252674026022817e-06
gandcrab,47,7.575858684605308e-06
gandcrab,48,7.3725713010119875e-06
gandcrab,49,6.811875959300551e-06
gandcrab,50,6.609732277063074e-06
downloadguide,1,7.255882195078556e-07
downloadguide,2,4.877416248660893e-09
downloadguide,3,1.3166983037216085e-06
downloadguide,4,5.483732003597197e-06
downloadguide,5,2.2073266454425422e-05
downloadguide,6,4.563957275904862e-05
downloadguide,7,5.4483201546107196e-05
downloadguide,8,2.1539570554507392e-05
downloadguide,9,3.978351600464336e-05
downloadguide,10,3.0976765182266774e-05
downloadguide,11,2.5140976326776254e-05
downloadguide,12,3.3517663884818916e-05
downloadguide,13,2.9828763676187364e-05
downloadguide,14,2.497768123155275e-05
downloadguide,15,2.2735403618634464e-05
downloadguide,16,2.249103539408992e-05
downloadguide,17,2.117121168954128e-05
downloadguide,18,1.9246585831300678e-05
downloadguide,19,1.165902291555554e-05
firseria,1,7.508782453591323e-07
firseria,2,1.3727589965206732e-05
firseria,3,6.365951783715573e-06
firseria,4,1.549495411534707e-06
firseria,5,3.0425061201544423e-06
firseria,6,1.8667701395802538e-06
firseria,7,1.3937162277599668e-06
firseria,8,6.508515816738836e-06
firseria,9,3.568341648829687e-07
firseria,10,2.4309127257815533e-06
firseria,11,2.1407823527219705e-06
firseria,12,1.5787462535055141e-06
firseria,13,1.4160002130836347e-06
