Class 1,Class 2,Number of Files,MMD Score
domaiq,fareit,1,1.2597956174358966
hotbar,benign,1,1.2484425259463596
hotbar,gandcrab,1,1.2627616685301177
hotbar,downloadguide,1,1.2627061663569727
hotbar,firseria,1,1.261556604462265
hotbar,emotet,1,1.238612411007554
hotbar,driverpack,1,1.2600054942807124
hotbar,domaiq,1,1.2609357200842863
hotbar,multiplug,1,1.2524456070478613
hotbar,dlhelper,1,1.262600801676073
hotbar,downloadadmin,1,1.2621146005538026
hotbar,gamarue,1,1.2257965850275583
hotbar,darkkomet,1,1.1036807924558225
hotbar,delf,1,1.1995587067615783
hotbar,gamehack,1,1.2210858705225185
hotbar,fareit,1,1.260555903671022
multiplug,benign,1,1.2391432102473983
multiplug,gandcrab,1,1.2535198116053068
multiplug,downloadguide,1,1.2535938673198688
multiplug,firseria,1,1.2522103017615391
multiplug,emotet,1,1.2291224417220126
multiplug,driverpack,1,1.2508641053815954
multiplug,domaiq,1,1.2517862969700286
multiplug,hotbar,1,1.2524456070478613
multiplug,dlhelper,1,1.2534839025037667
multiplug,downloadadmin,1,1.2529860291492252
multiplug,gamarue,1,1.216230150368524
multiplug,darkkomet,1,1.0926014958638768
multiplug,delf,1,1.189663362332415
multiplug,gamehack,1,1.2114524130537934
multiplug,fareit,1,1.2514141665553093
dlhelper,benign,1,1.2493625156007258
dlhelper,gandcrab,1,1.2636643848571176
dlhelper,downloadguide,1,1.263610187004764
dlhelper,firseria,1,1.262466131352586
dlhelper,emotet,1,1.2395399578245763
dlhelper,driverpack,1,1.2609133798629149
dlhelper,domaiq,1,1.2618405494306022
dlhelper,hotbar,1,1.262600801676073
dlhelper,multiplug,1,1.2534839025037667
dlhelper,downloadadmin,1,1.2630186504034624
dlhelper,gamarue,1,1.226753261798381
dlhelper,darkkomet,1,1.1047644563812873
dlhelper,delf,1,1.2005437806937596
dlhelper,gamehack,1,1.222038951382118
dlhelper,fareit,1,1.261463244446964
downloadadmin,benign,1,1.2488689309157595
downloadadmin,gandcrab,1,1.2631804394941049
downloadadmin,downloadguide,1,1.263125836323537
downloadadmin,firseria,1,1.2619574589763196
downloadadmin,emotet,1,1.2389932220410342
downloadadmin,driverpack,1,1.2598617905007652
downloadadmin,domaiq,1,1.2613547593666885
downloadadmin,hotbar,1,1.2621146005538026
downloadadmin,multiplug,1,1.2529860291492252
downloadadmin,dlhelper,1,1.2630186504034624
downloadadmin,gamarue,1,1.2259405786788973
downloadadmin,darkkomet,1,1.1041936524516918
downloadadmin,delf,1,1.2000329483461019
downloadadmin,gamehack,1,1.2215271260221952
downloadadmin,fareit,1,1.260976816936
gamarue,benign,1,1.210065706111661
gamarue,gandcrab,1,1.2269395439742807
gamarue,downloadguide,1,1.22687788588608
gamarue,firseria,1,1.225677151770434
gamarue,emotet,1,1.201534062655114
gamarue,driverpack,1,1.224036430702566
gamarue,domaiq,1,1.2250134960574934
gamarue,hotbar,1,1.2257965850275583
gamarue,multiplug,1,1.216230150368524
gamarue,dlhelper,1,1.226753261798381
gamarue,downloadadmin,1,1.2259405786788973
gamarue,darkkomet,1,1.0600688732648178
gamarue,delf,1,1.1606849636739427
gamarue,gamehack,1,1.1832251503302151
gamarue,fareit,1,1.2246050738981942
darkkomet,benign,1,1.08759342558241
darkkomet,gandcrab,1,1.104978289740845
darkkomet,downloadguide,1,1.1049113469941114
darkkomet,firseria,1,1.1035194845599636
darkkomet,emotet,1,1.0753579212201605
darkkomet,driverpack,1,1.1016305430649784
darkkomet,domaiq,1,1.1027570816424555
darkkomet,hotbar,1,1.1036807924558225
darkkomet,multiplug,1,1.0926014958638768
darkkomet,dlhelper,1,1.1047644563812873
darkkomet,downloadadmin,1,1.1041936524516918
darkkomet,gamarue,1,1.0600688732648178
darkkomet,delf,1,1.0282615222664042
darkkomet,gamehack,1,1.054382159131277
darkkomet,fareit,1,1.1022889287707756
delf,benign,1,1.18521778707538
delf,gandcrab,1,1.2007415927053597
delf,downloadguide,1,1.2006801552595328
delf,firseria,1,1.1994351190529635
delf,emotet,1,1.1745602131913098
delf,driverpack,1,1.1973493837487617
delf,domaiq,1,1.1987240051987502
delf,hotbar,1,1.1995587067615783
delf,multiplug,1,1.189663362332415
delf,dlhelper,1,1.2005437806937596
delf,downloadadmin,1,1.2000329483461019
delf,gamarue,1,1.1606849636739427
delf,darkkomet,1,1.0282615222664042
delf,gamehack,1,1.1555517679593192
delf,fareit,1,1.198336370175214
gamehack,benign,1,1.2070736175130155
gamehack,gandcrab,1,1.2222092441158705
gamehack,downloadguide,1,1.2221520092358964
gamehack,firseria,1,1.2209345268781593
gamehack,emotet,1,1.1967103312219207
gamehack,driverpack,1,1.2192700897364324
gamehack,domaiq,1,1.2202824596541257
gamehack,hotbar,1,1.2210858705225185
gamehack,multiplug,1,1.2114524130537934
gamehack,dlhelper,1,1.222038951382118
gamehack,downloadadmin,1,1.2215271260221952
gamehack,gamarue,1,1.1832251503302151
gamehack,darkkomet,1,1.054382159131277
gamehack,delf,1,1.1555517679593192
gamehack,fareit,1,1.219882478148926
fareit,benign,1,1.2472824801401243
fareit,gandcrab,1,1.261624350357256
fareit,downloadguide,1,1.261569327129811
fareit,firseria,1,1.2604226414491406
fareit,emotet,1,1.237429144253193
fareit,driverpack,1,1.2588623451548882
fareit,domaiq,1,1.2597956174358966
fareit,hotbar,1,1.260555903671022
fareit,multiplug,1,1.2514141665553093
fareit,dlhelper,1,1.261463244446964
fareit,downloadadmin,1,1.260976816936
fareit,gamarue,1,1.2246050738981942
fareit,darkkomet,1,1.1022889287707756
fareit,delf,1,1.198336370175214
fareit,gamehack,1,1.219882478148926
benign,gandcrab,2,0.922394302905109
benign,downloadguide,2,0.9221354759840423
benign,firseria,2,0.920858208872416
benign,emotet,2,0.9057527169797267
benign,driverpack,2,0.9192333229498133
benign,domaiq,2,0.9128240595495398
benign,hotbar,2,0.9212975703531252
benign,multiplug,2,0.9115616250924516
benign,dlhelper,2,0.9156867961029906
benign,downloadadmin,2,0.9217696970658714
benign,gamarue,2,0.8881811092141048
benign,darkkomet,2,0.5839538455899896
benign,delf,2,0.8825619596803611
benign,gamehack,2,0.6047736642325927
benign,fareit,2,0.9196280260451378
gandcrab,benign,2,0.922394302905109
gandcrab,downloadguide,2,1.2634636332381988
gandcrab,firseria,2,1.2622309291394838
gandcrab,emotet,2,1.2486601102128927
gandcrab,driverpack,2,1.2609883275393883
gandcrab,domaiq,2,1.2549827155772997
gandcrab,hotbar,2,1.2626812166628834
gandcrab,multiplug,2,1.253716733839158
gandcrab,dlhelper,2,1.2575877093673413
gandcrab,downloadadmin,2,1.2631097834593956
